NB,LATITUDE,LONGITUDE,NAME,NAME_MOD,AUTH_ANC,AUTH_MOD,COUNTRY,AM,PP,RE,BW,QU,MO,CN,SL,SH,PH,CO
2217,36.175752,29.648938,Sebeda ,Limanagzi,,BAtlas,TR: South,m,,,,,,,,,,
2218,36.154590,29.723934,Isinda ,near Boğazcık,,BAtlas,TR: South,m,,,,,,,,,,
2219,36.158324,29.785083,"Aperlis, Aperlai ",inside the bay,"Stadiasmus, 240",Flemming,TR: South,a,,,,,,,,,,
2219.1,36.164906,29.802672,,Pölemos Bükü,,AdG,TR: South,m,p,,,,,,,,,
2220,36.195642,29.849394,"Teimioussa, Tristomon ",Kaleüçagiz,,BAtlas,TR: South,m,,,,,,,,,,
2221,36.188503,29.861008,"Somenis, Simena ",in front of the isle of Kekova Adasi,"Stadiasmus, 239",Flemming,TR: South,a,,,,,,,,,,
2222,36.210251,29.893466,Istlada ,Gökkaya near the isle of Kekova Adasi,,BAtlas,TR: South,m,,,,,,,,,,
2223,36.224622,29.937987,"Andriace, Andriake, port of Myra ",Demre,"Appian, Guerres civiles, 4, 10 ; Luc, Actes, 27.5 ; Stadiasmus, 238","Lehmann, BAtlas",TR: South,a,,,,,,,,,,
2224,36.269207,30.054330,"Ision, Isio turre ",near Beymelek,"Stadiasmus, 237",BAtlas,TR: South,a,,,,,,,,,,
2225,36.297258,30.153970,"Phoinix, port of Lamyro, Limyra ",Finike 3 km SW of Yuvalılar at the toe of the hill,"Stadiasmus, 236",BAtlas,TR: South,a,,,,,,,,,,
2226,36.308133,30.241148,"Gagis, Gagae, Palaion Teichos ",near Hasyurt,"Stadiasmus, 235",BAtlas,TR: South,a,,,,,,,,,,
2227,36.256653,30.407124,Melanippe ,Korsan Koyu,"Stadiasmus, 234",BAtlas,TR: South,a,,,,,,,,,,
2228,36.193946,30.404161,"Iles Chelidoniennes, Chelidonian islands, Chelidonia ",anchorage near one of the three islands in front of the Sacred promontory,"Strabo, Geogr, 14, 3",,TR: South,a,,,,,,,,,,
2229,36.237634,30.472190,"Crambusa, Krambousa, Dyonisias ",Isle of Suluada Adasi,"Stadiasmus, 229",BAtlas,TR: South,a,,,,,,,,,,
2230,36.300169,30.471488,"Moron Hydor, Moro ",bay of Adrasan,"Stadiasmus, 231",BAtlas,TR: South,a,,,,,,,,,,
2231,36.356968,30.505641,"Siderous Limen, Posidarisunte ",Sazak Koyu,"Stadiasmus, 230 ; Scylax, Peripl",BAtlas,TR: South,a,,,,,,,,,,
2232,36.396725,30.476974,"Hadrianopolis, Olympus on R Phoenicunte ",Olimpos on R Cirali,"Stadiasmus, 228","Flemming, BAtlas",TR: South,a,,,,,,,,,,
2233,36.430325,30.492522,"Coryco, Korykos ",Creek of Maden,"Stadiasmus, 227","Lehmann, BAtlas",TR: South,a,,rs,X,,,,,,,
2234,36.516438,30.547696,"Phaselis, Phaselide ",near Tekirova,"Strabo, Geogr, 14, 3 ; Livy, Hist, 37, 22 & 37, 24 ; Scylax, Peripl ; Stadiasmus, 226","Lehmann, BAtlas, Flemming, Blackman",TR: South,a,,r,X,X,X,,,,,
2235,36.602380,30.582162,Idyros ,near Kemer,,BAtlas,TR: South,m,,,,,,,,,,
2236,36.802300,30.589464,"Lyrnateia, Lyrnante ? ","Ile aux souris, Mice island, Siçan Adasi","Stadiasmus, 225",BAtlas,TR: South,a,,,,,,,,,,
2237,36.850170,30.637759,Tenedos and Olbia ,near the outlet of R Boga,"Stadiasmus, 224",BAtlas,TR: South,a,,,,,,,,,,
2238,36.882958,30.700016,"Attaleia, Adalia ",Antalya,"Stadiasmus, 223","Lehmann, Cohen, Flemming, Christiansen",TR: South,a,,r,,,,,,,X,
2239,36.871470,30.713587,Mygdalis ,"Antalya, near Genclik ?","Stadiasmus, 222",,TR: South,a,,,,,,,,,,
2240,36.851999,30.742997,Masura ,"Antalya, near Fener ?","Stadiasmus, 221",,TR: South,a,,,,,,,,,,
2241,36.849505,30.790780,"Magydos, port of Perge ",South of Antalya airport,"Luc, Actes, 13. 13","Lehmann, Flemming",TR: South,a,,rs,X,X,,,,,,
2242,36.847187,30.865832,"Rhixoupous, Rhouskopous, Rhuscopode ",near Lara Beach,"Stadiasmus, 220",BAtlas,TR: South,a,,,,,,,,,,
2243,36.846350,30.919530,"R Cestro, Kestros ",R Kumköy,"Stadiasmus, 219",BAtlas,TR: South,a,,,,,,,,,,
2244,36.832672,31.072005,"Kynosarion, Cynosario ",near Belek,"Stadiasmus, 218",BAtlas,TR: South,a,,,,,,,,,,
2245,36.939082,31.170305,Aspendos on R Eurymedon ,Belkis on R Köprüçay,,Köse,TR: South,m,,,,,,,,,,
2246,36.823971,31.172018,R Eurymedonte ,"R Köprüçay, navigable","Stadiasmus, 217",,TR: South,a,,,,,,,,,,
2247,36.818703,31.241410,"Seleukeia, Seleucie de Pamphilie ",near Perakende,"Stadiasmus, 216","Cohen, BAtlas",TR: South,a,,,,,,,,,,
2248,36.768120,31.383034,"Side, Sida and its ancient lighthouse ?",Selimiye,"Mela, Geogr, 1, 15 ; Scylax, Peripl ; Stadiasmus, 214","Lehmann, Flemming",TR: South,a,,r,X,,,,,,,
2249,36.737907,31.478002,"Melas, Melane ","outlet of R Manavgat near Side, navigable","Strabo, Geogr, 14, 4 ; Stadiasmus, 213",,TR: South,a,,,,,,,,,,
2250,36.728809,31.501458,Dianae templo , ? near the outlet of R Manavgat,"Stadiasmus, 212",,TR: South,a,,,,,,,,,,
2251,36.642540,31.665811,"Kibyra, Cibyra, Mikra ",Kara Burun,"Stadiasmus, 211","BAtlas, Flemming",TR: South,a,,,,,,,,,,
2252,36.601323,31.786519,Ptolemais ,near Türkler,"Stadiasmus, 209","Lehmann, Cohen, BAtlas, Flemming",TR: South,a,,rs,X,,,,,,,
2253,36.572792,31.881525,"Augai, Arsinoe of Pamphylia",near Elikezik,"Stadiasmus, 208","Cohen, BAtlas",TR: South,a,,,,,,,,,,
2254,36.554234,31.954700,"Aunesis, port of Hamaxia ",near Elikezik,"Stadiasmus, 208","Cohen, BAtlas",TR: South,a,,r,,X,,,,,,
2255,36.522985,31.993721,"Korakesion, Coracesium ",Alanya,"Stadiasmus, 207","Redford, Cohen, Flemming",TR: South,a,,,,,,,,,,
2256,36.517267,32.051978,Laertes ,"the city is located upstreams on R Dim, but must have had a port at the outlet","Strabo, Geogr, 14, 5 ; Stadiasmus 206","BAtlas, Flemming",TR: South,a,,,,,,,,,,
2257,36.474313,32.099174,"Naulis, Nauloi ",near Mahmutlar,"Stadiasmus, 205",BAtlas,TR: South,a,,,,,,,,,,
2258,36.394475,32.172398,Syedra ,near Demirtas,,BAtlas,TR: South,m,,,,,,,,,,
2259,36.331281,32.213826,Iotape ,near Imamli,,BAtlas,TR: South,m,,,,,,,,,,
2260,36.262307,32.275658,"Sellinus, Selinunte, Trianopolis ",Gazipasa Limani,"Stadiasmus, 203","Flemming, BAtlas",TR: South,a,,,,,,,,,,
2261,36.218857,32.329267,"Kaystros, Kestros ",near Macarköy,,BAtlas,TR: South,m,,,,,,,,,,
2262,36.166672,32.385260,Nephelium ,Güney Kalezi near Muzkent,"Stadiasmus, 201",BAtlas,TR: South,a,,,,,,,,,,
2263,36.154167,32.414991,"Crago, Antiochia ad Cragum, Antiochia Parva, Antiochette ",near Güneyköy,"Stadiasmus, 200","BAtlas, Lehmann, Flemming",TR: South,a,,r,,,,,,X?,,
2264,36.096418,32.561722,"Fort of Charadrûs, Charadros, ",Yakacik Kaledran,"Strabo, Geogr, 14, 5 ; Scylax, Peripl ; Stadiasmus, 199","Lehmann, Cohen, BAtlas",TR: South,a,,,,,,,,,,
2265,36.040294,32.685858,"Platanunte, Mellisa ",Meleç near Demirören,"Stadiasmus, 198","Flemming, BAtlas",TR: South,a,,,,,,,,,,
2266,36.021126,32.805428,"Anamorium, Anemurium ",Anamur,"Stadiasmus, 196",Flemming,TR: South,a,,,,,,,,,,
2267,36.079491,32.895820,"Rhygmanis, Mamuriye ",Mamure,"Stadiasmus, 195",Flemming,TR: South,a,,r,,X,,,,,,
2268,36.096811,32.973567,Nagidos ,islet in front of Bozyasi,,,TR: South,m,,,,,,,,,,
2269,36.094717,33.015685,"Arsinoe de Cilicie, port of Setos, Syke ",Güneysu Koyu,"Strabo, Geogr, 14, 5 ; Scylax, Peripl","Cohen, BAtlas, Flemming",TR: South,a,,,,,,,,,,
2270,36.092952,33.097491,Dionysophanis ,East of Tekmen,"Stadiasmus, 194",BAtlas,TR: South,a,,,,,,,,,,
2271,36.122346,33.123944,Mandane ,Tekeli,"Stadiasmus, 192",BAtlas,TR: South,a,,,,,,,,,,
2272,36.130264,33.292889,"Mellaxia, Myous ? Myanda ? ",Soguksu near Yenikas,,"Flemming, BAtlas",TR: South,m,,,,,,,,,,
2273,36.144653,33.324420,"Calenderis, Celenderis",Gilindere-Aydıncık,"Strabo, Geogr, 14, 5 ; Stadiasmus, 191","BAtlas, Flemming, Korhan Bircan",TR: South,a,,r,,X,,,,,,
2273.1,36.113988,33.378464,Spurie island,Yılanlı Ada,,Korhan Bircan,TR: South,m,,,,,,,,,,
2274,36.134656,33.405772,Berenice de Cilicie ,near Sancakburnu: Kurtini Koyu ?,"Stadiasmus, 190","Cohen, BAtlas",TR: South,a,,,,,,,,,,
2275,36.155074,33.462474,"Pisourgia, Pisurgiis ",Sipahili,"Stadiasmus, 189",BAtlas,TR: South,a,,,,,,,,,,
2275.1,36.123073,33.534838,,Besparmak Adasi,,Volkan Evrin,TR: South,m,,,,,,,,,,
2276,36.154431,33.577735,R Craunos ,near Büyükeceli,"Stadiasmus, 188",,TR: South,a,,,,,,,,,,
2277,36.186747,33.649174,"Kiphisos, Cephiso, Melane ",Yesilovacik,"Stadiasmus, 187",Flemming,TR: South,a,,,,,,,,,,
2278,36.158374,33.689579,"Aphrodisias, Port d’Aphrodite ",Tisan near Yesiloacik,"Scylax, Peripl ; Stadiasmus, 184",,TR: South,a,,,,,,,,,,
2279,36.189473,33.769651,"Pityusse, Pityoussa, Petrossa ? ",Isle of Dana Adasi,"Stadiasmus, 184",BAtlas,TR: South,a,,,,,,,,,,
2280,36.252432,33.812448,"Palaia, Philaia ",Barbaros Koyu,"Stadiasmus, 183",BAtlas,TR: South,a,,,,,,,,,,
2281,36.269325,33.818477,"Portum Nesulium, Agalimani behind the isle of Nesoulion, Asteria",Bogsak,"Stadiasmus, 182","Flemming, BAtlas",TR: South,a,,,,,,,,,,
2282,36.304035,33.859747,Mylai ,near Tasucu,,BAtlas,TR: South,m,,,,,,,,,,
2283,36.311965,33.879429,"Holmoi, Holmis, Hermia ? ",Tasucu,"Stadiasmus, 180",BAtlas,TR: South,a,,,,,,,,,,
2284,36.377074,33.915424,"Seleucia ad Calycadnum, Seleucie de Kalykadnos, Trachea ",Silifke,"Stadiasmus, 179",Cohen,TR: South,a,,,,,,,,,,
2285,36.255928,34.011313,"R Calydunum, Calycadunum and Cape Sarpedonio ","R Göksu the outlet of which has wandered much since antiquity, probably between Tasucu on the West side and Atakent on the East side","Stadiasmus, 176-177",,TR: South,a,,,,,,,,,,
2286,36.340533,34.084837,Zephirion ,near Arkum,,BAtlas,TR: South,m,,,,,,,,,,
2287,36.387631,34.082945,"Persente, Pseudokorasion ? ",near Atakent,,"Flemming, BAtlas",TR: South,m,,r,X,,,,,,,
2288,36.421202,34.100599,"Korasion, Pulchrum Coracesium, Kalon Korarkesion ",Ertur Koyu,"Stadiasmus, 174",BAtlas,TR: South,a,,,,,,,,,,
2289,36.443942,34.117929,Arima? Krine? ,near Narlikuyu,,BAtlas,TR: South,m,,,,,,,,,,
2290,36.463011,34.152955,"Corycos, Korikos ",Kızkalesi,"Livy, Hist, 37, 12 ; Pliny, Hist Nat, 5, 22 ; Mela, Geogr, 1, 13 ; Stadiasmus, 173","Lehmann, Flemming",TR: South,a,,,,,,,,,,
2291,36.484231,34.178165,Elaiussa Sebaste ,Ayas near Yemişkumu,"Strabo, Geogr, 14, 5 ; Stadiasmus, 172","BAtlas, Flemming, Christiansen",TR: South,a,,r,,,,,,,X,
2292,36.531432,34.234627,,Akkale near Kumkuyu ,,BAtlas,TR: South,m,,,,,,,,,,
2293,36.558582,34.251237,Lamos ,near Limonlu,,BAtlas,TR: South,m,,,,,,,,,,
2294,36.598529,34.323720,Calanthia ,Erdemli,"Stadiasmus, 171",BAtlas,TR: South,a,,,,,,,,,,
2295,36.742331,34.539818,"Soles, Soli, Soloi, Pompeiopolis ",Viransehir West of Mersin,"Stadiasmus, 170","Lehmann, Flemming, Blackman",TR: South,a,,r,X,X,,,,,,
2296,36.778572,34.622108,"Zephyrion, Hadrianopolis ",Mersin,"Stadiasmus, 169",,TR: South,a,,,,,,,,,,
2297,36.804855,34.703229,Aulai ? ,near Mersin-Karaduvar,,BAtlas,TR: South,m,,,,,,,,,,
2298,36.787787,34.810194,outlet of Lake Rhegmi ,near Kulak,"Stadiasmus, 167",,TR: South,a,,,,,,,,,,
2299,36.888954,34.871192,"Tarsos, port of Tarsus, Rhêgma lagoon, Antioch on the R Kydnos ",Mersin,"Strabo, Geogr, 14, 5 ; Stadiasmus, 168","Lehmann, Cohen",TR: South,a,,,,,,,,,,
2300,36.711348,34.900067,R Saros,R Ceyhan,"Stadiasmus, 166",BAtlas,TR: South,a,,,,,,,,,,
2301,37.018512,35.328832,"Adana, Antiochia ad Sarum on R Saros ",Adana,"Scylax, Peripl",,TR: South,a,,,,,,,,,,
2302,36.650361,35.104961,Ionia ,near Tabur ?,"Stadiasmus, 164",,TR: South,a,,,,,,,,,,
2303,36.540983,35.349296,"Magarsa, Magarsos, port of Mallo, Mallos on R Pyramos ",near Karatas,"Stadiasmus, 162","BAtlas, Flemming",TR: South,a,,r,,X,,,,,,
2304,36.757964,35.483753,"Mallos, Antiochia ad Pyrmum, ",Kızıltahta on R Ceyhan,"Stadiasmus, 163","Lehmann, Cohen, BAtlas",TR: South,a,,,,,,,,,,
2305,36.556718,35.392073,Didymis islands,isles of Karatas Adasi,"Stadiasmus, 161",BAtlas,TR: South,a,,,,,,,,,,
2306,36.653702,35.495525,"Serretillis, Serraipolis ",near Bebeli ? at the outlet of R Ceyhan,"Stadiasmus, 159",BAtlas,TR: South,a,,,,,,,,,,
2307,36.768920,35.794435,"Aigeai, Aegées ","Ayas, near Yumurtalik","Strabo, Geogr, 14, 5 ; Stadiasmus, 158","Cohen, Flemming",TR: South,a,,r,X,,,,,,,
2308,36.830690,35.895518,"Halai, Alai, Alis ",near the Sugözü power station,"Stadiasmus, 157",BAtlas,TR: South,a,,,,,,,,,,
2309,36.912445,36.001731,"Amanicas portas, Portis Ciliciae, Katabolos, Moutloubake ",near the Tahsin LÖK terminal,"Stadiasmus, 153 & 156",BAtlas,TR: South,a,,,,,,,,,,
2310,36.850904,36.140128,"Issus, Isso, Nikopolis ",near Yeniyurt,"Strabo, Geogr, 14, 5 ; Stadiasmus, 155","BAtlas, Flemming",TR: South,a,,,,,,,,,,
2311,36.808399,36.170425,Fano ,near Dörtyol,"Stadiasmus, 154",,TR: South,a,,,,,,,,,,
2312,36.755579,36.182055,Baiae ,Payas,,Flemming,TR: South,m,,r,X,,,,,,,
2313,36.707511,36.185619,,Karayilan ,,BAtlas,TR: South,m,,,,,,,,,,
2314,36.601555,36.175648,"Indicaia ad Issos, Indicaia Scabiosa ","Indicatte, Iskenderun","Stadiasmus, 152","Cohen, Flemming, RE",TR: South,a,,,,,,,,,,
2315,36.539501,36.034993,"Myriandos, Myriandros ",near Büyükdere South of Indicatte,"Stadiasmus, 151","Carayon, Flemming",TR: South,a,,,,,,,,,,
2316,36.416177,35.888873,"Antioch of Pieria, Rhosos, Arosos ","Arsuz, near Ulucinar","Stadiasmus, 150",Cohen,TR: South,a,,,,,,,,,,
2317,36.381387,35.855103,,Burunlu ,,BAtlas,TR: South,m,,,,,,,,,,
2318,36.283342,35.784272,"Georgia, Georgiis ",near Kale,"Stadiasmus, 149",BAtlas,TR: South,a,,,,,,,,,,
2319,36.119233,35.922155,"Seleukeia, Seleucia Pieria, Séleucie de Piérie, Hydatos Potamoi ","port of Antioch of Daphne, basin on the coast at the outlet of the tunnel of Titus","Polybius, Hist, 5, 13 ; Stadiasmus, 148","Lehmann, Cohen, Pamir, Blackman, Flemming",TR: South,a,,r,X,,,X,,,,
2320,36.117931,35.929549,"Seleukeia, Seleucia Pieria, Séleucie de Piérie, Hydatos Potamoi ","port of Antioch of Daphne, initial basin at the toe of the hill","Polybius, Hist, 5, 13 ; Stadiasmus, 148","Lehmann, Flemming, Cohen, Pamir, Blackman",TR: South,a,,,,,,,,,,
2321,36.046472,35.957756,R Oronte,"Al-Mina, at the outlet of R Oronte","Stadiasmus, 147",Carayon,TR: South,a,,,,,,,,,,
2322,36.034456,35.964365,Bytyllion ,near Meydan,,BAtlas,TR: South,m,,,,,,,,,,
2323,36.010704,35.976123,"Nymphaion, Balaneion Tiberinon ",Samandagi Plaji,"Stadiasmus, 146",BAtlas,TR: South,a,,,,,,,,,,
2324,35.904380,35.886299,"Macra, Longa ",Isle al Hamam ?,"Stadiasmus, 145",,Syria,a,,,,,,,,,,
2325,35.884476,35.880743,Sidonia ,2 km from the isle of Macra,"Stadiasmus, 143",,Syria,a,,,,,,,,,,
2326,35.852815,35.826264,"Posidium, Poseideion ",Ras al Basit,"Stadiasmus, 142","Carayon, Flemming",Syria,a,,rs,X,X,,,,,,
2327,35.727501,35.827005,"Charadros, Charadropolis ",Wadi Qandil ?,"Stadiasmus, 144",Cohen,Syria,a,,,,,,,,,,
2328,35.630980,35.777227,Pasieria ,outlet near Al Shamiyah ?,"Stadiasmus, 140",,Syria,a,,,,,,,,,,
2329,35.609150,35.772124,"Heraclea de Cassiotis, Mahadu, Leucos Limen ",Minet el-Beida,"Stadiasmus, 138","Carayon, Cohen, Flemming, CG",Syria,a,,,,,,,,,,
2330,35.591082,35.746834,"Portus Albus, Resu ","Ras ibn Hani, North bay","Stadiasmus, 139","Carayon, Cohen",Syria,a,,rs,X,,,,,,,
2331,35.577971,35.737866,Portus Albus,"Ras ibn Hani, South bay","Stadiasmus, 140",Carayon,Syria,a,,rs,X,,,,,,,
2332,35.513174,35.769889,Laodicea ,Lattaquié,"Strabo, Geogr, 16, 2 ; Stadiasmus, 137","Carayon, Cohen, Flemming",Syria,a,,r,,X,,,,,,X
2333,35.436845,35.888249,Fleuve navigable , ? between Jableh and Lattaquié,"Stadiasmus, 136",,Syria,a,,,,,,,,,,
2334,35.371841,35.935174,,Tell Tweini ,,Carayon,Syria,m,,,,,,,,,,
2335,35.345556,35.922008,Gabala ,"Jablé, Jablah","Stadiasmus, 135","Carayon, Flemming",Syria,a,,,,,,,,,,
2336,35.305783,35.918714,"Shuksi, Pelleta ? ",Tell Sukas,,"Carayon, BAtlas",Syria,m,,,,,,,,,,
2337,35.264370,35.924594,"Palto, Paltenorum ",in the outlet of Nahr es-Sinn,"Stadiasmus, 130-134","Carayon, Flemming",Syria,a,,,,,,,,,,
2338,35.188020,35.939962,"Balaneas promontorio, Leukas Balanaia, Balaneae ",Banyias,"Stadiasmus, 129","Carayon, Cohen",Syria,a,,,,,,,,,,
2339,35.032009,35.891396,Maraccas ,near Marqueh,,BAtlas,Syria,m,,,,,,,,,,
2340,34.949830,35.882903,"Karnos, Carnus ","Carné, Tell Qarnum","Strabo, Geogr, 16, 2 ; Stadiasmus, 128","Lehmann, Carayon",Syria,a,,,,,,,,,,
2341,34.902661,35.849143,"Antarados, Constantia ",Tartous,,"Carayon, BAtlas, Flemming",Syria,m,,,,,,,,,,
2342,34.869970,35.875118,Enydra ,Tell Ghamqe,,"Carayon, BAtlas",Syria,m,,,,,,,,,,
2343,34.858745,35.861896,"Aradus, Arados ",Arwad,"Strabo, Geogr, 16, 2 ; Scylax, Peripl ; Stadiasmus, 128","Carayon, Lehmann, RE",Syria,a,,r,X,X,,,,,,
2344,34.832554,35.908894,Marathos ,Amrit,,"Carayon, Flemming",Syria,m,,r,,X,,,,,,
2345,34.823364,35.873490,,islet of el-Habbes,,Carayon,Syria,m,,,,,,,,,,
2346,34.782959,35.886772,,islet of Machroud,,Carayon,Syria,m,,,,,,,,,,
2347,34.747835,35.930044,Simyra ,Tabbat el-Hammam,,"Carayon, Flemming, Blackman",Syria,m,,rs,X,X,,,,,,
2348,34.737688,35.963915,"Tell Kazel, antique Simyra, Sumur ? ",river port on R Nahr el-Abrache,,Carayon,Syria,m,,,,,,,,,,
2349,34.605007,35.985359,,Cheikh Zennad ,,Carayon,Lebanon,m,,,,,,,,,,
2350,34.511203,35.952744,"Orthosia, ancient Ullasa, port of Arca, Herakleia ",Ard Artusi,,"Carayon, Cohen, BAtlas, Flemming",Lebanon,m,,,,,,,,,,
2351,34.458094,35.816817,"Tripoli, ancient Wahliya ",Tripoli,"Arrian, Alexander 2, 6 ; Diodorus, Hist, 19, 58",Carayon,Lebanon,a,,rs,X,,,,,,,
2352,34.457207,35.809198,,"Tripoli, islet of el-Baqar",,Carayon,Lebanon,m,,r,X,,,,,,,
2353,34.447052,35.814166,,"Tirpoli, South bay",,Carayon,Lebanon,m,,r,,X,,,,,,
2354,34.390131,35.782359,Kalamos ,Al Qalamoun,,BAtlas,Lebanon,m,,,,,,,,,,
2355,34.360883,35.729176,Ampi,Enfé,,Carayon,Lebanon,m,,,,,,,,,,
2356,34.361461,35.725474,,"Enfé, slipway ? ",,Carayon,Lebanon,m,,r,,,,,X?,,,
2357,34.328488,35.723493,Shigata ? ,Chekka ,,Carayon,Lebanon,m,,,,,,,,,,
2358,34.323915,35.722427,,Chekka 2 ,,Carayon,Lebanon,m,,,,,,,,,,
2359,34.254883,35.655445,Botrys with a wall dug in the rock,Batroun,,"Carayon, Flemming, RE",Lebanon,m,,r,X,,,,,,,
2360,34.252127,35.656217,Botrys,"Batroun, South bay",,Carayon,Lebanon,m,,,,,,,,,,
2361,34.121477,35.643299,"Byblos, Gubla, Gebal ",Jbeil,"Diodorus, Hist, 19, 58","Carayon, Frost, Lehmann, Flemming",Lebanon,a,,,,,,,,,,
2362,34.119479,35.643606,Byblos,"Jbeil, Chamiyé","Diodorus, Hist, 19, 59",Carayon,Lebanon,a,,,,,,,,,,
2363,34.115442,35.646730,Byblos,"Jbeil, bay of el-Shiny","Diodorus, Hist, 19, 60",Carayon,Lebanon,a,,,,,,,,,,
2364,33.985886,35.628705,Palaibyblos ,near Jounieh,,BAtlas,Lebanon,m,,,,,,,,,,
2365,33.899231,35.505065,"Berytos, Beryte, Beyrouth, Laodikeia in Phoenicia ","Beyrouth, Beirut","Scylax, Peripl","Carayon, Cohen, Flemming, RE",Lebanon,a,,r,,X,X,,,,,
2365.1,33.899803,35.497317,"Berytos, Beryte, Beyrouth, Laodikeia in Phoenicia ","Beyrouth, Beirut, Minet el-Hosn under Venus Towers",,Anis Chaaya,Lebanon,m,,,,,,,,,,
2366,33.820327,35.474910,Heldua ,Khalde,,"Carayon, BAtlas",Lebanon,m,,,,,,,,,,
2367,33.663524,35.413973,Porphyreon Polis ,near Jiyeh,,BAtlas,Lebanon,m,,,,,,,,,,
2368,33.588754,35.382028,Alsos Asklepiou ,near Hababiye,,BAtlas,Lebanon,m,,,,,,,,,,
2369,33.572761,35.368021,Sidon ,"Saïda, isle of Ziré",,"Carayon, Frost, Lehmann, Flemming, Blackman",Lebanon,m,,rs,X,X,X,,,,,
2370,33.566305,35.370394,Sidon,Saïda,"Tatius, Amours, 1, 1 ; Strabo, Geogr, 16, 2 & 17, 2 ; Luc, Actes, 27.3 ; Scylax, Peripl",Carayon,Lebanon,a,,rs,X,X,,X,,,,
2371,33.564388,35.366882,Sidon,"Saïda, rocky spit on western seafront of the port",,Carayon,Lebanon,m,,r,X,,,,,,,
2372,33.480624,35.319700,,Tell el-Bourak ,,Carayon,Lebanon,m,,rs,,,,,,,,
2373,33.463644,35.291853,"Sarepta, Makra Kome ",Ras es Shiq near Sarafand,,"Carayon, BAtlas, Flemming, Blackman",Lebanon,m,,r,,X,X,,,,,
2374,33.412312,35.265542,"Ad Nonum, Ornithon Polis ? ",Adloun,,"Carayon, BAtlas",Lebanon,m,,,,,,,,,,
2375,33.276017,35.195344,"Tyr, Tyros, port Nord","Sour, North port","Quintus, Hist, 4, 2 ; Diodorus, Hist, 17, 7 & 19, 58 & 19, 62 ; Luc, Actes, 21.3 ; Strabo, Geogr, 16, 2 ; Scylax, Peripl","Carayon, Frost, Lehmann, Cohen, Flemming, Blackman, Poidebard",Lebanon,a,,rs,X,X,,,,,,
2376,33.266115,35.192248,"Tyr ""Port Sud - Bassin Ouest"" is not a port but a landfill","Sour, South side",,"Carayon, Poidebard",Lebanon,m,,rs,,X?,,,,,,
2377,33.267024,35.194519,"Tyr ""Port Sud - Bassin Est"" is not a port but a landfill","Sour, façade Sud",,"Carayon, Poidebard",Lebanon,m,,rs,,X?,,,,,,
2378,33.252904,35.206480,"Palaityros, Palaetyr ","Palaityros, Palaetyr ",,Carayon,Lebanon,m,,,,,,,,,,
2379,33.179990,35.189762,Sinde ,near Mansouri,,BAtlas,Lebanon,m,,,,,,,,,,
2380,33.165814,35.175435,Alexandroschene ,Iskandarouna,,Cohen,Lebanon,m,,,,,,,,,,
2381,33.145624,35.156751,Hammon ,South of Iskandarouna,,BAtlas,Lebanon,m,,,,,,,,,,
2382,33.082137,35.100120,Misrefot-Yam ,at la frontière Liban-Israël,,Carayon,Israel,m,,r,,,,X,,,,
2383,33.048836,35.099452,Ekdipa ,Akzib,,"Carayon, Flemming",Israel,m,,r,X,,X,,,,,
2384,32.984838,35.078552,Nea Come ? ,near Shavei Tsion,,BAtlas,Israel,m,,,,,,,,,,
2385,32.918629,35.072046,"Ake, Ptolemaïs with ancient lighthouse","Acre, Akko and the islet of Tour des Vents, Tower of Flies","Luc, Actes, 21.7","Carayon, Lehmann, Cohen, Flemming, Blackman, Inman, Christiansen",Israel,a,,rs,X,X,,,,,X,
2386,32.793418,35.026763,Tel abu Hawam ,"Haïfa, near R Qishon",,"Carayon, Flemming",Israel,m,,r,,,,,,,,X?
2387,32.815129,34.951176,Sykamina ,"Shiqmona, Haïfa West",,"Carayon, BAtlas, Flemming",Israel,m,,,,,,,,,,
2388,32.739975,34.947017,,Tel Megadim ,,"Carayon, Flemming",Israel,m,,,,,,,,,,
2389,32.706433,34.934998,Boukolonpolis with ancient lighthouse(s),Athlit,,"Carayon, BAtlas, Flemming, Blackman, Inman, Christiansen",Israel,m,,rs,X,X,,X,,,X?,
2390,32.620578,34.917735,"Dor, Dora ","Dor, Dora, North bay, Moshav Bay",,"Carayon, Lehmann, Flemming, Blackman, Loven",Israel,m,,r,,X,X,X,,,,
2391,32.618204,34.916518,"Dor, Dora ","Dor, Dora, Love Bay",,Carayon,Israel,m,,r,,,,,,X,,
2392,32.615948,34.916826,"Dor, Dora ","Dor, Dora, South bay, Nahsholim Bay",,Carayon,Israel,m,,r,,X,,,,,,
2393,32.540124,34.899905,Krokodeilonpolis ,Tel Tannimin near Tel Mevorach,,"Carayon, BAtlas, Flemming",Israel,m,,,,,,,,,,
2394,32.506702,34.892443,"Startonos Pyrgos, Tour de Straton, Straton's Tower","Caesarea Maritima, pre-Roman port","Strabo, Geogr, 16, 4","Carayon, Cohen",Israel,a,,r,,X,,,,,,
2395,32.501516,34.891314,"Startonos Pyrgos, Tour de Straton, Straton's Tower with ancient lighthouse","Caesarea Maritima, pre-Roman interior port of Straton's Tower","Strabo, Geogr, 16, 4","Carayon, Cohen, Christiansen",Israel,a,,r,,X,,,,,X,
